12" Driver B RE = 5.81 ohms VT = 1 ft^3
Vgen = 001.000 Vrms
Frequency	Magnitude	 Phase
00009.99512	023.07625	 69.05924
00010.24463	024.13771	 69.59461
00010.51831	025.39684	 70.16318
00010.79321	026.74635	 70.63346
00011.06787	028.24439	 70.98454
00011.34180	029.81367	 71.45787
00011.64160	031.75516	 71.70682
00011.94092	033.89807	 71.97470
00012.23999	036.18866	 72.31098
00012.53955	038.89935	 72.39464
00012.87280	042.21905	 72.42291
00013.22266	046.25487	 72.38828
00013.54688	050.65583	 72.14694
00013.89600	056.27253	 71.70421
00014.24561	063.02948	 71.04152
00014.61963	072.07792	 69.89643
00014.99438	083.67567	 68.24743
00015.36792	099.07749	 65.69989
00015.76733	121.78260	 61.50823
00016.16626	154.69896	 54.63525
00016.59106	206.18168	 41.98578
00017.01489	267.37826	 19.66652
00017.43921	282.31161	-10.57408
00017.88794	228.91633	-36.96582
00018.36230	171.51929	-52.90020
00018.83643	131.29662	-61.71918
00019.32520	104.66531	-66.80888
00019.82495	086.40358	-69.81433
00020.32349	073.62375	-71.58097
00020.84717	064.04916	-72.46515
00021.37158	057.20012	-73.08133
00021.92017	051.33107	-74.21334
00022.49390	046.01060	-74.69246
00023.06836	041.78961	-74.68632
00023.66699	038.31509	-74.47045
00024.26563	035.27518	-74.37388
00024.88916	032.69950	-74.05290
00025.51318	030.48052	-73.70384
00026.19263	028.37938	-73.20582
00026.84082	026.66055	-72.76430
00027.53906	025.08893	-72.09110
00028.23779	023.73155	-71.37472
00028.96118	022.36409	-70.86244
00029.70947	021.24949	-69.99198
00030.48315	020.15815	-69.23555
00031.25684	019.15438	-68.57224
00032.07031	018.30152	-67.54910
00032.89380	017.43862	-66.67310
00033.74219	016.70631	-65.59037
00034.59058	016.02711	-64.58267
00035.48877	015.34022	-63.45584
00036.38745	014.76599	-62.25333
00037.33521	014.22728	-61.14804
00038.28369	013.76814	-59.68398
00039.26563	013.35718	-58.80807
00040.28882	012.87618	-57.69593
00041.31177	012.46144	-56.49187
00042.35986	012.08876	-55.13761
00043.45752	011.74188	-53.78507
00044.55542	011.45335	-52.29752
00045.71826	011.23179	-50.90838
00046.89136	011.05438	-49.69287
00048.08862	010.91268	-48.73428
00049.33643	010.74238	-48.41243
00050.58374	010.46802	-48.36191
00051.89697	010.10628	-47.90702
00053.24438	009.73092	-46.94368
00054.59155	009.39869	-45.72592
00055.98877	009.11629	-44.18957
00057.43652	008.87013	-42.57668
00058.92358	008.66414	-41.03145
00060.42065	008.48580	-39.55416
00061.96729	008.30230	-38.11793
00063.56421	008.12379	-36.62731
00065.19580	007.96031	-35.14113
00066.86743	007.80206	-33.51012
00068.58936	007.65419	-31.92456
00070.33569	007.51887	-30.27580
00072.14746	007.39616	-28.51824
00073.99414	007.28390	-26.77194
00075.89038	007.18541	-24.99296
00077.84155	007.09852	-23.22401
00079.83813	007.03171	-21.42308
00081.88379	006.96373	-19.64357
00083.99487	006.90180	-17.85652
00086.14111	006.84903	-16.05612
00088.36157	006.80624	-14.25466
00090.61646	006.77033	-12.47602
00092.93701	006.74284	-10.71998
00095.33228	006.72295	-08.89591
00097.79321	006.71058	-07.12488
00100.28833	006.70782	-05.38082
00102.85449	006.71304	-03.63709
00105.49927	006.72553	-01.91858
00108.19360	006.74620	-00.21827
00110.97949	006.77324	 01.45166
00113.82349	006.80926	 03.09185
00116.75269	006.85161	 04.65775
00119.74658	006.89708	 06.20078
00122.83130	006.94454	 07.69513
00125.97534	007.00673	 09.21414
00129.19922	007.07186	 10.63388
00132.51758	007.13928	 12.01862
00135.92700	007.20251	 13.43118
00139.39502	007.27038	 14.82216
00142.97266	007.35297	 16.25347
00146.64014	007.44234	 17.60029
00150.42383	007.53947	 18.90208
00154.28174	007.64108	 20.16428
00158.22485	007.74723	 21.36747
00162.30713	007.86367	 22.54035
00166.45874	007.97703	 23.61811
00170.72437	008.07976	 24.66161
00175.13257	008.19701	 25.79448
00179.60449	008.32400	 26.80553
00184.21973	008.44884	 27.81923
00188.95068	008.57762	 28.77321
00193.80176	008.70673	 29.67830
00198.78345	008.83436	 30.66503
00203.87256	008.97119	 31.60825
00209.16016	009.11708	 32.56096
00214.39893	009.26379	 33.39875
00219.88477	009.41374	 34.27535
00225.61621	009.57282	 35.16850
00231.35864	009.73728	 36.01593
00237.09424	009.90495	 36.76914
00243.32690	010.08711	 37.52956
00249.56055	010.26632	 38.24441
00255.84863	010.44223	 38.87934
00262.58911	010.61633	 39.51574
00269.32104	010.78106	 40.22215
00276.05786	010.95451	 40.95180
00283.28711	011.15184	 41.68304
00290.52148	011.35012	 42.39130
00298.00513	011.56158	 43.03847
00305.48560	011.77003	 43.66585
00313.46704	011.99093	 44.27215
00321.60303	012.21865	 44.85956
00329.83691	012.44412	 45.41344
00338.31738	012.67287	 45.94504
00346.79785	012.90283	 46.45933
00355.78223	013.14441	 47.03486
00365.00757	013.39671	 47.51742
00374.23926	013.64257	 48.02481
00384.05566	013.91138	 48.53347
00393.78564	014.17581	 48.98409
00403.76563	014.44309	 49.43214
00414.24341	014.71771	 49.88156
00424.71362	015.00397	 50.29311
00435.69482	015.29574	 50.71127
00446.91870	015.59339	 51.14371
00458.54419	015.90934	 51.52169
00470.27271	016.23652	 51.90379
00482.24243	016.55734	 52.25939
00494.71704	016.88245	 52.50904
00507.18286	017.21378	 52.87576
00520.55591	017.58833	 53.17822
00533.78491	017.94807	 53.42970
00547.49756	018.35092	 53.64420
00561.46460	018.70307	 53.55216
00576.08838	018.98594	 53.76142
00590.80933	019.31372	 54.04196
00605.77832	019.64221	 54.29246
00621.48926	020.03412	 54.68607
00637.20313	020.50254	 54.82044
00653.76489	020.83830	 54.83959
00670.47900	021.28559	 55.11552
00687.68628	021.66106	 55.04509
00705.54883	022.00855	 54.95312
00723.50928	022.33228	 55.40419
00741.97363	022.73987	 55.53254
00760.92383	023.13985	 55.64345
00780.68750	023.52219	 55.86041
00800.64038	023.87951	 56.08757
00821.09863	024.37717	 56.33871
00842.20459	024.70197	 56.54394
00863.90796	025.18076	 56.90328
00885.86011	025.66903	 57.07372
00908.65454	026.13675	 57.33540
00932.10083	026.63212	 57.50702
00955.80151	027.17962	 57.74830
00980.65088	027.70746	 57.91595
01005.59766	028.29898	 58.05535
01031.49561	028.89731	 58.06791
01057.68701	029.42903	 58.00460
01084.87793	029.90166	 58.03925
01112.71875	030.39914	 58.26797
01141.41333	031.04563	 58.51132
01170.68750	031.77203	 58.57136
