12" Driver B RE = 5.81 ohms VT = 1 ft^3
Vgen = 001.000 Vrms
Frequency	Magnitude	 Phase
00009.99512	007.57730	 11.85609
00010.24463	007.58804	 12.12606
00010.51855	007.59742	 12.31101
00010.79346	007.60635	 12.48938
00011.06787	007.61683	 12.71387
00011.34180	007.62475	 12.89208
00011.64160	007.63363	 13.14235
00011.94116	007.64505	 13.63476
00012.24023	007.65674	 13.98386
00012.53979	007.66759	 14.21538
00012.87280	007.68075	 14.49988
00013.22266	007.69474	 14.87612
00013.54712	007.70841	 15.25892
00013.89600	007.72327	 15.53781
00014.24585	007.73738	 15.94062
00014.61963	007.75586	 16.38424
00014.99438	007.77283	 16.74920
00015.36792	007.78988	 17.12089
00015.76733	007.81288	 17.59944
00016.16626	007.83459	 17.97982
00016.59106	007.85868	 18.42670
00017.01489	007.88300	 18.91319
00017.43921	007.90519	 19.35339
00017.88794	007.93539	 19.77752
00018.36230	007.96720	 20.24850
00018.83643	007.99759	 20.89599
00019.32520	008.03823	 21.29322
00019.82471	008.07442	 21.71519
00020.32324	008.11237	 22.28255
00020.84741	008.15501	 23.05589
00021.37158	008.19980	 23.41150
00021.92017	008.25119	 24.37440
00022.49414	008.30542	 24.80840
00023.06836	008.36248	 25.70429
00023.66699	008.41833	 26.18694
00024.26563	008.48692	 26.86141
00024.88916	008.55381	 27.81916
00025.51318	008.63681	 28.41254
00026.19214	008.72244	 29.39118
00026.84082	008.81524	 30.03994
00027.53906	008.91330	 30.97106
00028.23779	009.03728	 31.86816
00028.96118	009.16528	 32.65174
00029.70947	009.29319	 33.67021
00030.48315	009.44447	 34.55525
00031.25659	009.59608	 35.45082
00032.07031	009.77465	 36.50921
00032.89355	009.96935	 37.59100
00033.74194	010.19880	 38.67737
00034.59058	010.43419	 39.60662
00035.48877	010.70491	 40.78466
00036.38745	010.99623	 41.84484
00037.33545	011.32308	 42.91405
00038.28394	011.69188	 44.12857
00039.26563	012.11307	 45.30136
00040.28857	012.60110	 46.50075
00041.31201	013.14195	 47.72357
00042.35986	013.77854	 48.92464
00043.45752	014.52903	 50.02082
00044.55542	015.39316	 51.12312
00045.71826	016.46321	 52.15965
00046.89136	017.73569	 53.16201
00048.08862	019.30793	 53.99051
00049.33643	021.31834	 54.65849
00050.58398	023.86287	 54.72109
00051.89697	027.20897	 53.92456
00053.24414	031.41147	 52.45634
00054.59131	037.25852	 50.35085
00055.98853	046.40085	 45.75767
00057.43628	060.79327	 36.47351
00058.92358	079.11206	 16.09322
00060.42065	082.20902	-13.15114
00061.96729	066.73543	-38.41927
00063.56396	048.89627	-52.23250
00065.19580	037.04049	-58.45651
00066.86743	029.35738	-61.05864
00068.58936	024.13844	-61.64438
00070.33569	020.47655	-61.15173
00072.14697	017.71536	-60.14672
00073.99414	015.57232	-58.63959
00075.89063	013.87211	-56.60559
00077.84131	012.49339	-54.23412
00079.83789	011.37717	-51.54152
00081.88379	010.48105	-48.51961
00083.99487	009.76888	-45.30939
00086.14087	009.20374	-42.19434
00088.36133	008.73639	-39.02144
00090.61646	008.34250	-36.10042
00092.93652	008.00013	-33.04334
00095.33228	007.71043	-29.96895
00097.79297	007.46012	-26.90195
00100.28809	007.26354	-23.72870
00102.85449	007.12030	-20.57624
00105.49902	007.04232	-17.52386
00108.19385	006.98985	-15.15912
00110.97949	006.88843	-12.70650
00113.82324	006.82199	-10.08975
00116.75269	006.77461	-07.47479
00119.74683	006.75196	-04.94950
00122.83130	006.74917	-02.51657
00125.97534	006.76409	-00.20551
00129.19922	006.79425	 02.06919
00132.51758	006.84030	 04.11646
00135.92700	006.88770	 06.07728
00139.39404	006.93952	 07.98410
00142.97339	007.00138	 09.84474
00146.64063	007.07519	 11.62823
00150.42334	007.14928	 13.35155
00154.28223	007.23822	 15.01897
00158.22485	007.33844	 16.55920
00162.30737	007.43164	 17.92036
00166.45874	007.51257	 19.35845
00170.72437	007.60652	 20.81204
00175.13257	007.71411	 22.20443
00179.60376	007.82643	 23.57107
00184.21973	007.95442	 24.87206
00188.95093	008.08253	 26.04758
00193.80176	008.20804	 27.19348
00198.78271	008.33209	 28.36894
00203.87329	008.47012	 29.47164
00209.15259	008.61579	 30.62280
00214.39844	008.76272	 31.64134
00219.88477	008.91420	 32.61434
00225.61694	009.08344	 33.60331
00231.35864	009.23206	 34.36447
00237.09448	009.38061	 35.34088
00243.32788	009.55182	 36.26417
00249.56152	009.73371	 37.05960
00255.84863	009.90277	 37.81608
00262.58887	010.09746	 38.59503
00269.32104	010.27989	 39.22105
00276.05688	010.43554	 39.82277
00283.28711	010.59506	 40.61841
00290.52124	010.78363	 41.41985
00298.00513	010.98224	 42.13831
00305.48682	011.18298	 42.83481
00313.46704	011.39211	 43.51430
00321.60181	011.61315	 44.17286
00329.83594	011.83139	 44.75712
00338.31836	012.04933	 45.35770
00346.79785	012.26762	 45.95459
00355.78101	012.50396	 46.54216
00365.00879	012.74167	 47.10613
00374.24072	012.99100	 47.68299
00384.05566	013.25075	 48.21606
00393.78491	013.50330	 48.70341
00403.76563	013.76786	 49.16851
00414.24341	014.03633	 49.65334
00424.71362	014.31050	 50.12429
00435.69482	014.60443	 50.62941
00446.91870	014.90935	 51.06829
00458.54248	015.24200	 51.51982
00470.27124	015.57137	 51.98480
00482.24072	015.96781	 52.45505
00494.71704	016.53342	 52.84020
00507.18359	017.57207	 50.60638
00520.55591	016.22947	 50.30700
00533.78296	016.63100	 52.35542
00547.49756	017.03087	 53.17666
00561.46460	017.41442	 53.75820
00576.08643	017.81083	 54.19767
