X--Trace 1::[-I(I1:3) | I(PR1)],Y--Trace 1::[-I(I1:3) | I(PR1)]
1,0.000196364
1.02329,0.000200914
1.04713,0.000205569
1.07152,0.00021033
1.09648,0.0002152
1.12202,0.000220182
1.14815,0.000225277
1.1749,0.000230489
1.20226,0.00023582
1.23027,0.000241273
1.25893,0.00024685
1.28825,0.000252554
1.31826,0.000258388
1.34896,0.000264354
1.38038,0.000270456
1.41254,0.000276696
1.44544,0.000283077
1.47911,0.000289602
1.51356,0.000296275
1.54882,0.000303099
1.58489,0.000310076
1.62181,0.00031721
1.65959,0.000324504
1.69824,0.000331961
1.7378,0.000339586
1.77828,0.00034738
1.8197,0.000355349
1.86209,0.000363494
1.90546,0.000371821
1.94984,0.000380332
1.99526,0.000389031
2.04174,0.000397922
2.0893,0.000407008
2.13796,0.000416294
2.18776,0.000425782
2.23872,0.000435478
2.29087,0.000445385
2.34423,0.000455506
2.39883,0.000465846
2.45471,0.000476409
2.51189,0.000487198
2.5704,0.000498218
2.63027,0.000509472
2.69153,0.000520966
2.75423,0.000532702
2.81838,0.000544684
2.88403,0.000556917
2.95121,0.000569405
3.01995,0.000582152
3.0903,0.000595161
3.16228,0.000608436
3.23594,0.000621982
3.31131,0.000635802
3.38844,0.0006499
3.46737,0.000664279
3.54813,0.000678943
3.63078,0.000693895
3.71535,0.00070914
3.80189,0.000724679
3.89045,0.000740517
3.98107,0.000756656
4.0738,0.000773099
4.16869,0.000789849
4.2658,0.000806907
4.36516,0.000824277
4.46684,0.000841961
4.57088,0.00085996
4.67735,0.000878275
4.7863,0.000896909
4.89779,0.000915862
5.01187,0.000935134
5.12861,0.000954727
5.24807,0.00097464
5.37032,0.000994873
5.49541,0.00101542
5.62341,0.00103629
5.7544,0.00105748
5.88844,0.00107898
6.0256,0.0011008
6.16595,0.00112292
6.30957,0.00114535
6.45654,0.00116808
6.60693,0.00119111
6.76083,0.00121443
6.91831,0.00123803
7.07946,0.00126192
7.24436,0.00128609
7.4131,0.00131052
7.58578,0.00133521
7.76247,0.00136015
7.94328,0.00138533
8.12831,0.00141074
8.31764,0.00143638
8.51138,0.00146223
8.70964,0.00148827
8.91251,0.00151451
9.12011,0.00154092
9.33254,0.00156749
9.54993,0.0015942
9.77237,0.00162105
10,0.00164802
10.2329,0.0016751
10.4713,0.00170226
10.7152,0.00172949
10.9648,0.00175678
11.2202,0.0017841
11.4815,0.00181144
11.749,0.00183879
12.0226,0.00186613
12.3027,0.00189343
12.5893,0.00192068
12.8825,0.00194787
13.1826,0.00197496
13.4896,0.00200196
13.8038,0.00202883
14.1254,0.00205556
14.4544,0.00208214
14.7911,0.00210854
15.1356,0.00213474
15.4882,0.00216074
15.8489,0.00218651
16.2181,0.00221204
16.5959,0.00223732
16.9824,0.00226232
17.378,0.00228703
17.7828,0.00231143
18.197,0.00233553
18.6209,0.00235929
19.0546,0.0023827
19.4984,0.00240576
19.9526,0.00242845
20.4174,0.00245076
20.893,0.00247268
21.3796,0.00249419
21.8776,0.00251529
22.3872,0.00253596
22.9087,0.00255619
23.4423,0.00257598
23.9883,0.00259531
24.5471,0.00261417
25.1189,0.00263256
25.704,0.00265046
26.3027,0.00266785
26.9153,0.00268474
27.5423,0.0027011
28.1838,0.00271693
28.8403,0.00273221
29.5121,0.00274692
30.1995,0.00276106
30.903,0.0027746
31.6228,0.00278754
32.3594,0.00279984
33.1131,0.00281149
33.8844,0.00282247
34.6737,0.00283276
35.4813,0.00284233
36.3078,0.00285115
37.1535,0.00285919
38.0189,0.00286642
38.9045,0.00287282
39.8107,0.00287833
40.738,0.00288293
41.6869,0.00288658
42.658,0.00288922
43.6516,0.00289083
44.6684,0.00289134
45.7088,0.00289071
46.7735,0.0028889
47.863,0.00288584
48.9779,0.00288149
50.1187,0.00287579
51.2861,0.00286868
52.4807,0.00286012
53.7032,0.00285004
54.9541,0.0028384
56.2341,0.00282515
57.544,0.00281024
58.8844,0.00279362
60.256,0.00277526
61.6595,0.00275513
63.0957,0.00273319
64.5654,0.00270944
66.0693,0.00268385
67.6083,0.00265644
69.1831,0.0026272
70.7946,0.00259615
72.4436,0.00256333
74.131,0.00252877
75.8578,0.00249253
77.6247,0.00245467
79.4328,0.00241526
81.2831,0.00237438
83.1764,0.00233214
85.1138,0.00228862
87.0964,0.00224395
89.1251,0.00219823
91.2011,0.0021516
93.3254,0.00210416
95.4993,0.00205607
97.7237,0.00200743
100,0.00195839
102.329,0.00190907
104.713,0.00185959
107.152,0.00181009
109.648,0.00176066
112.202,0.00171144
114.815,0.00166252
117.49,0.00161399
120.226,0.00156596
123.027,0.00151851
125.893,0.0014717
128.825,0.00142562
131.826,0.00138031
134.896,0.00133584
138.038,0.00129225
141.254,0.00124957
144.544,0.00120785
147.911,0.00116711
151.356,0.00112736
154.882,0.00108862
158.489,0.00105091
162.181,0.00101423
165.959,0.000978579
169.824,0.000943956
173.78,0.000910356
177.828,0.000877771
181.97,0.00084619
186.209,0.0008156
190.546,0.000785986
194.984,0.000757331
199.526,0.000729617
204.174,0.000702825
208.93,0.000676934
213.796,0.000651924
218.776,0.000627773
223.872,0.000604458
229.087,0.000581959
234.423,0.000560252
239.883,0.000539315
245.471,0.000519125
251.189,0.00049966
257.04,0.000480898
263.027,0.000462817
269.153,0.000445395
275.423,0.000428611
281.838,0.000412445
288.403,0.000396875
295.121,0.000381882
301.995,0.000367447
309.03,0.000353549
316.228,0.000340171
323.594,0.000327294
331.131,0.0003149
338.844,0.000302974
346.737,0.000291497
354.813,0.000280454
363.078,0.000269828
371.535,0.000259606
380.189,0.000249771
389.045,0.00024031
398.107,0.00023121
407.38,0.000222455
416.869,0.000214035
426.58,0.000205935
436.516,0.000198144
446.684,0.00019065
457.088,0.000183443
467.735,0.00017651
478.63,0.000169842
489.779,0.000163428
501.187,0.000157259
512.861,0.000151324
524.807,0.000145616
537.032,0.000140124
549.541,0.000134841
562.341,0.000129758
575.44,0.000124868
588.844,0.000120163
602.56,0.000115636
616.595,0.000111279
630.957,0.000107087
645.654,0.000103052
660.693,9.91684e-05
676.083,9.54305e-05
691.831,9.18325e-05
707.946,8.8369e-05
724.436,8.50347e-05
741.31,8.18247e-05
758.578,7.87342e-05
776.247,7.57587e-05
794.328,7.28939e-05
812.831,7.01354e-05
831.764,6.74795e-05
851.138,6.49221e-05
870.964,6.24597e-05
891.251,6.00887e-05
912.011,5.78058e-05
933.254,5.56077e-05
954.993,5.34913e-05
977.237,5.14537e-05
1000,4.9492e-05
1023.29,4.76033e-05
1047.13,4.57852e-05
1071.52,4.4035e-05
1096.48,4.23503e-05
1122.02,4.07287e-05
1148.15,3.91679e-05
1174.9,3.76657e-05
1202.26,3.622e-05
1230.27,3.48288e-05
1258.93,3.34901e-05
1288.25,3.22019e-05
1318.26,3.09625e-05
1348.96,2.977e-05
1380.38,2.86228e-05
1412.54,2.75191e-05
1445.44,2.64574e-05
1479.11,2.54362e-05
1513.56,2.44539e-05
1548.82,2.35091e-05
1584.89,2.26004e-05
1621.81,2.17264e-05
1659.59,2.0886e-05
1698.24,2.00777e-05
1737.8,1.93005e-05
1778.28,1.85531e-05
1819.7,1.78345e-05
1862.09,1.71435e-05
1905.46,1.64791e-05
1949.84,1.58404e-05
1995.26,1.52262e-05
2041.74,1.46358e-05
2089.3,1.40681e-05
2137.96,1.35224e-05
2187.76,1.29978e-05
2238.72,1.24934e-05
2290.87,1.20086e-05
2344.23,1.15425e-05
2398.83,1.10945e-05
2454.71,1.06639e-05
2511.89,1.02499e-05
2570.4,9.852e-06
2630.27,9.46952e-06
2691.53,9.10188e-06
2754.23,8.7485e-06
2818.38,8.40883e-06
2884.03,8.08235e-06
2951.21,7.76855e-06
3019.95,7.46694e-06
3090.3,7.17704e-06
3162.28,6.8984e-06
3235.94,6.63059e-06
3311.31,6.37319e-06
3388.44,6.12579e-06
3467.37,5.888e-06
3548.13,5.65946e-06
3630.78,5.43981e-06
3715.35,5.22869e-06
3801.89,5.02578e-06
3890.45,4.83077e-06
3981.07,4.64333e-06
4073.8,4.46318e-06
4168.69,4.29004e-06
4265.8,4.12363e-06
4365.16,3.96369e-06
4466.84,3.80997e-06
4570.88,3.66222e-06
4677.35,3.52023e-06
4786.3,3.38375e-06
4897.79,3.25258e-06
5011.87,3.1265e-06
5128.61,3.00533e-06
5248.07,2.88887e-06
5370.32,2.77694e-06
5495.41,2.66936e-06
5623.41,2.56595e-06
5754.4,2.46657e-06
5888.44,2.37105e-06
6025.6,2.27924e-06
6165.95,2.191e-06
6309.57,2.10618e-06
6456.54,2.02466e-06
6606.93,1.94631e-06
6760.83,1.871e-06
6918.31,1.79862e-06
7079.46,1.72904e-06
7244.36,1.66217e-06
7413.1,1.59789e-06
7585.78,1.53611e-06
7762.47,1.47672e-06
7943.28,1.41964e-06
8128.31,1.36478e-06
8317.64,1.31204e-06
8511.38,1.26135e-06
8709.64,1.21262e-06
8912.51,1.16579e-06
9120.11,1.12077e-06
9332.54,1.0775e-06
9549.93,1.0359e-06
9772.37,9.95915e-07
10000,9.57481e-07
10232.9,9.20535e-07
10471.3,8.85021e-07
10715.2,8.50883e-07
10964.8,8.18067e-07
11220.2,7.86521e-07
11481.5,7.56197e-07
11749,7.27047e-07
12022.6,6.99025e-07
12302.7,6.72088e-07
12589.3,6.46193e-07
12882.5,6.213e-07
13182.6,5.97369e-07
13489.6,5.74365e-07
13803.8,5.52249e-07
14125.4,5.30989e-07
14454.4,5.10551e-07
14791.1,4.90903e-07
15135.6,4.72013e-07
15488.2,4.53854e-07
15848.9,4.36397e-07
16218.1,4.19613e-07
16595.9,4.03478e-07
16982.4,3.87966e-07
17378,3.73052e-07
17782.8,3.58714e-07
18197,3.4493e-07
18620.9,3.31677e-07
19054.6,3.18936e-07
19498.4,3.06686e-07
19952.6,2.94909e-07
