X--Trace 1::[-I(I1:3) | I(PR1)],Y--Trace 1::[-I(I1:3) | I(PR1)]
1,1.63006e-05
1.02329,1.66799e-05
1.04713,1.70681e-05
1.07152,1.74652e-05
1.09648,1.78716e-05
1.12202,1.82875e-05
1.14815,1.8713e-05
1.1749,1.91484e-05
1.20226,1.95939e-05
1.23027,2.00498e-05
1.25893,2.05162e-05
1.28825,2.09935e-05
1.31826,2.14819e-05
1.34896,2.19816e-05
1.38038,2.24929e-05
1.41254,2.3016e-05
1.44544,2.35514e-05
1.47911,2.40991e-05
1.51356,2.46596e-05
1.54882,2.52331e-05
1.58489,2.58199e-05
1.62181,2.64202e-05
1.65959,2.70346e-05
1.69824,2.76632e-05
1.7378,2.83063e-05
1.77828,2.89644e-05
1.8197,2.96377e-05
1.86209,3.03267e-05
1.90546,3.10316e-05
1.94984,3.17528e-05
1.99526,3.24908e-05
2.04174,3.32459e-05
2.0893,3.40184e-05
2.13796,3.48089e-05
2.18776,3.56176e-05
2.23872,3.64451e-05
2.29087,3.72918e-05
2.34423,3.8158e-05
2.39883,3.90443e-05
2.45471,3.99511e-05
2.51189,4.08789e-05
2.5704,4.18282e-05
2.63027,4.27993e-05
2.69153,4.3793e-05
2.75423,4.48096e-05
2.81838,4.58497e-05
2.88403,4.69138e-05
2.95121,4.80026e-05
3.01995,4.91164e-05
3.0903,5.0256e-05
3.16228,5.14218e-05
3.23594,5.26146e-05
3.31131,5.38349e-05
3.38844,5.50833e-05
3.46737,5.63605e-05
3.54813,5.76671e-05
3.63078,5.90039e-05
3.71535,6.03714e-05
3.80189,6.17704e-05
3.89045,6.32016e-05
3.98107,6.46658e-05
4.0738,6.61636e-05
4.16869,6.76958e-05
4.2658,6.92632e-05
4.36516,7.08667e-05
4.46684,7.2507e-05
4.57088,7.41849e-05
4.67735,7.59013e-05
4.7863,7.76571e-05
4.89779,7.94531e-05
5.01187,8.12903e-05
5.12861,8.31695e-05
5.24807,8.50918e-05
5.37032,8.7058e-05
5.49541,8.90692e-05
5.62341,9.11263e-05
5.7544,9.32305e-05
5.88844,9.53826e-05
6.0256,9.75839e-05
6.16595,9.98353e-05
6.30957,0.000102138
6.45654,0.000104493
6.60693,0.000106902
6.76083,0.000109366
6.91831,0.000111885
7.07946,0.000114462
7.24436,0.000117097
7.4131,0.000119792
7.58578,0.000122548
7.76247,0.000125367
7.94328,0.000128249
8.12831,0.000131196
8.31764,0.00013421
8.51138,0.000137292
8.70964,0.000140444
8.91251,0.000143667
9.12011,0.000146962
9.33254,0.000150331
9.54993,0.000153776
9.77237,0.000157298
10,0.0001609
10.2329,0.000164582
10.4713,0.000168346
10.7152,0.000172195
10.9648,0.000176129
11.2202,0.000180152
11.4815,0.000184264
11.749,0.000188468
12.0226,0.000192765
12.3027,0.000197158
12.5893,0.000201648
12.8825,0.000206239
13.1826,0.00021093
13.4896,0.000215726
13.8038,0.000220628
14.1254,0.000225638
14.4544,0.000230758
14.7911,0.000235992
15.1356,0.000241341
15.4882,0.000246807
15.8489,0.000252394
16.2181,0.000258103
16.5959,0.000263938
16.9824,0.000269901
17.378,0.000275994
17.7828,0.000282221
18.197,0.000288583
18.6209,0.000295086
19.0546,0.00030173
19.4984,0.000308519
19.9526,0.000315457
20.4174,0.000322546
20.893,0.00032979
21.3796,0.000337192
21.8776,0.000344755
22.3872,0.000352484
22.9087,0.000360382
23.4423,0.000368452
23.9883,0.000376699
24.5471,0.000385127
25.1189,0.000393739
25.704,0.000402541
26.3027,0.000411536
26.9153,0.00042073
27.5423,0.000430127
28.1838,0.000439732
28.8403,0.000449551
29.5121,0.000459589
30.1995,0.000469852
30.903,0.000480346
31.6228,0.000491076
32.3594,0.000502051
33.1131,0.000513276
33.8844,0.00052476
34.6737,0.000536509
35.4813,0.000548532
36.3078,0.000560838
37.1535,0.000573435
38.0189,0.000586334
38.9045,0.000599544
39.8107,0.000613077
40.738,0.000626944
41.6869,0.000641158
42.658,0.000655731
43.6516,0.000670677
44.6684,0.000686012
45.7088,0.000701752
46.7735,0.000717914
47.863,0.000734516
48.9779,0.000751577
50.1187,0.00076912
51.2861,0.000787166
52.4807,0.000805739
53.7032,0.000824866
54.9541,0.000844575
56.2341,0.000864896
57.544,0.000885859
58.8844,0.000907501
60.256,0.000929857
61.6595,0.000952966
63.0957,0.000976871
