X--Trace 1::[-I(I1:3) | I(PR1)],Y--Trace 1::[-I(I1:3) | I(PR1)]
1,6.12069e-05
1.02329,6.26308e-05
1.04713,6.40877e-05
1.07152,6.55784e-05
1.09648,6.71037e-05
1.12202,6.86644e-05
1.14815,7.02613e-05
1.1749,7.18953e-05
1.20226,7.35672e-05
1.23027,7.52779e-05
1.25893,7.70282e-05
1.28825,7.88192e-05
1.31826,8.06516e-05
1.34896,8.25265e-05
1.38038,8.44449e-05
1.41254,8.64077e-05
1.44544,8.8416e-05
1.47911,9.04709e-05
1.51356,9.25733e-05
1.54882,9.47243e-05
1.58489,9.69252e-05
1.62181,9.9177e-05
1.65959,0.000101481
1.69824,0.000103838
1.7378,0.00010625
1.77828,0.000108717
1.8197,0.000111242
1.86209,0.000113825
1.90546,0.000116467
1.94984,0.000119171
1.99526,0.000121937
2.04174,0.000124766
2.0893,0.000127661
2.13796,0.000130623
2.18776,0.000133653
2.23872,0.000136753
2.29087,0.000139925
2.34423,0.000143169
2.39883,0.000146488
2.45471,0.000149883
2.51189,0.000153357
2.5704,0.00015691
2.63027,0.000160545
2.69153,0.000164263
2.75423,0.000168067
2.81838,0.000171958
2.88403,0.000175938
2.95121,0.000180009
3.01995,0.000184173
3.0903,0.000188433
3.16228,0.00019279
3.23594,0.000197247
3.31131,0.000201805
3.38844,0.000206468
3.46737,0.000211236
3.54813,0.000216113
3.63078,0.000221102
3.71535,0.000226203
3.80189,0.000231421
3.89045,0.000236757
3.98107,0.000242214
4.0738,0.000247794
4.16869,0.000253501
4.2658,0.000259336
4.36516,0.000265304
4.46684,0.000271406
4.57088,0.000277645
4.67735,0.000284025
4.7863,0.000290548
4.89779,0.000297217
5.01187,0.000304035
5.12861,0.000311006
5.24807,0.000318133
5.37032,0.000325418
5.49541,0.000332866
5.62341,0.000340479
5.7544,0.000348261
5.88844,0.000356215
6.0256,0.000364344
6.16595,0.000372653
6.30957,0.000381145
6.45654,0.000389823
6.60693,0.000398691
6.76083,0.000407753
6.91831,0.000417012
7.07946,0.000426473
7.24436,0.000436138
7.4131,0.000446013
7.58578,0.000456101
7.76247,0.000466405
7.94328,0.000476931
8.12831,0.000487681
8.31764,0.000498661
8.51138,0.000509873
8.70964,0.000521323
8.91251,0.000533013
9.12011,0.00054495
9.33254,0.000557136
9.54993,0.000569576
9.77237,0.000582273
10,0.000595234
10.2329,0.00060846
10.4713,0.000621958
10.7152,0.00063573
10.9648,0.000649782
11.2202,0.000664117
11.4815,0.000678739
11.749,0.000693654
12.0226,0.000708864
12.3027,0.000724374
12.5893,0.000740188
12.8825,0.000756311
13.1826,0.000772745
13.4896,0.000789496
13.8038,0.000806567
14.1254,0.000823961
14.4544,0.000841683
14.7911,0.000859737
15.1356,0.000878125
15.4882,0.000896851
15.8489,0.000915919
16.2181,0.000935333
16.5959,0.000955094
16.9824,0.000975208
17.378,0.000995675
17.7828,0.0010165
18.197,0.00103768
18.6209,0.00105923
19.0546,0.00108114
19.4984,0.00110342
19.9526,0.00112607
20.4174,0.00114909
20.893,0.00117249
21.3796,0.00119625
21.8776,0.0012204
22.3872,0.00124492
22.9087,0.00126982
23.4423,0.0012951
23.9883,0.00132075
24.5471,0.00134679
25.1189,0.00137321
25.704,0.0014
26.3027,0.00142717
26.9153,0.00145472
27.5423,0.00148264
28.1838,0.00151093
28.8403,0.00153959
29.5121,0.00156862
30.1995,0.00159801
30.903,0.00162775
31.6228,0.00165784
32.3594,0.00168828
33.1131,0.00171904
33.8844,0.00175013
34.6737,0.00178154
35.4813,0.00181324
36.3078,0.00184522
37.1535,0.00187746
38.0189,0.00190995
38.9045,0.00194265
39.8107,0.00197555
40.738,0.0020086
41.6869,0.00204177
42.658,0.00207502
43.6516,0.00210831
44.6684,0.00214157
45.7088,0.00217474
46.7735,0.00220776
47.863,0.00224055
48.9779,0.002273
50.1187,0.00230504
