X--Trace 1::[V(PR2)/I(PR2)],Y--Trace 1::[V(PR2)/I(PR2)]
1,5.81665
1.02329,5.8169
1.04713,5.81716
1.07152,5.81742
1.09648,5.8177
1.12202,5.81798
1.14815,5.81828
1.1749,5.81859
1.20226,5.81891
1.23027,5.81925
1.25893,5.81959
1.28825,5.81995
1.31826,5.82033
1.34896,5.82072
1.38038,5.82112
1.41254,5.82154
1.44544,5.82198
1.47911,5.82244
1.51356,5.82291
1.54882,5.8234
1.58489,5.82391
1.62181,5.82444
1.65959,5.82499
1.69824,5.82557
1.7378,5.82617
1.77828,5.82679
1.8197,5.82743
1.86209,5.82811
1.90546,5.8288
1.94984,5.82953
1.99526,5.83029
2.04174,5.83108
2.0893,5.83189
2.13796,5.83275
2.18776,5.83363
2.23872,5.83456
2.29087,5.83552
2.34423,5.83652
2.39883,5.83756
2.45471,5.83864
2.51189,5.83977
2.5704,5.84094
2.63027,5.84216
2.69153,5.84343
2.75423,5.84475
2.81838,5.84613
2.88403,5.84757
2.95121,5.84906
3.01995,5.85062
3.0903,5.85224
3.16228,5.85393
3.23594,5.85568
3.31131,5.85751
3.38844,5.85942
3.46737,5.86141
3.54813,5.86348
3.63078,5.86563
3.71535,5.86788
3.80189,5.87022
3.89045,5.87266
3.98107,5.8752
4.0738,5.87785
4.16869,5.8806
4.2658,5.88348
4.36516,5.88648
4.46684,5.8896
4.57088,5.89286
4.67735,5.89625
4.7863,5.89979
4.89779,5.90348
5.01187,5.90733
5.12861,5.91134
5.24807,5.91552
5.37032,5.91988
5.49541,5.92443
5.62341,5.92917
5.7544,5.93412
5.88844,5.93928
6.0256,5.94466
6.16595,5.95027
6.30957,5.95613
6.45654,5.96224
6.60693,5.96861
6.76083,5.97526
6.91831,5.9822
7.07946,5.98944
7.24436,5.997
7.4131,6.00489
7.58578,6.01313
7.76247,6.02172
7.94328,6.0307
8.12831,6.04007
8.31764,6.04985
8.51138,6.06006
8.70964,6.07073
8.91251,6.08187
9.12011,6.09351
9.33254,6.10566
9.54993,6.11836
9.77237,6.13163
10,6.1455
10.2329,6.15999
10.4713,6.17513
10.7152,6.19097
10.9648,6.20752
11.2202,6.22482
11.4815,6.24292
11.749,6.26185
12.0226,6.28165
12.3027,6.30236
12.5893,6.32404
12.8825,6.34673
13.1826,6.37048
13.4896,6.39534
13.8038,6.42138
14.1254,6.44865
14.4544,6.47723
14.7911,6.50718
15.1356,6.53856
15.4882,6.57148
15.8489,6.60599
16.2181,6.6422
16.5959,6.6802
16.9824,6.7201
17.378,6.76199
17.7828,6.806
18.197,6.85226
18.6209,6.90089
19.0546,6.95204
19.4984,7.00587
19.9526,7.06254
20.4174,7.12225
20.893,7.18518
21.3796,7.25154
21.8776,7.32158
22.3872,7.39553
22.9087,7.47368
23.4423,7.55633
23.9883,7.6438
24.5471,7.73645
25.1189,7.83468
25.704,7.93893
26.3027,8.04966
26.9153,8.16742
27.5423,8.2928
28.1838,8.42645
28.8403,8.56909
29.5121,8.72155
30.1995,8.88475
30.903,9.05971
31.6228,9.2476
32.3594,9.44972
33.1131,9.66758
33.8844,9.90286
34.6737,10.1575
35.4813,10.4337
36.3078,10.7341
37.1535,11.0616
38.0189,11.4196
38.9045,11.812
39.8107,12.2434
40.738,12.7192
41.6869,13.2456
42.658,13.8297
43.6516,14.4799
44.6684,15.2057
45.7088,16.0178
46.7735,16.9277
47.863,17.9475
48.9779,19.0879
50.1187,20.3559
51.2861,21.7496
52.4807,23.2498
53.7032,24.8077
54.9541,26.3302
56.2341,27.6689
57.544,28.6305
58.8844,29.0233
60.256,28.7338
61.6595,27.787
