X--Trace 1::[-I(I1:3) | I(PR3)],Y--Trace 1::[-I(I1:3) | I(PR3)]
1,0.000731894
1.02329,0.000748029
1.04713,0.000764478
1.07152,0.000781245
1.09648,0.000798333
1.12202,0.000815745
1.14815,0.000833484
1.1749,0.000851553
1.20226,0.000869954
1.23027,0.000888689
1.25893,0.000907761
1.28825,0.00092717
1.31826,0.000946919
1.34896,0.000967008
1.38038,0.000987438
1.41254,0.00100821
1.44544,0.00102932
1.47911,0.00105077
1.51356,0.00107257
1.54882,0.0010947
1.58489,0.00111717
1.62181,0.00113997
1.65959,0.00116311
1.69824,0.00118657
1.7378,0.00121036
1.77828,0.00123446
1.8197,0.00125889
1.86209,0.00128362
1.90546,0.00130865
1.94984,0.00133398
1.99526,0.0013596
2.04174,0.00138549
2.0893,0.00141166
2.13796,0.00143809
2.18776,0.00146476
2.23872,0.00149168
2.29087,0.00151882
2.34423,0.00154618
2.39883,0.00157374
2.45471,0.00160148
2.51189,0.0016294
2.5704,0.00165747
2.63027,0.00168568
2.69153,0.00171402
2.75423,0.00174247
2.81838,0.001771
2.88403,0.00179961
2.95121,0.00182826
3.01995,0.00185695
3.0903,0.00188565
3.16228,0.00191435
3.23594,0.00194302
3.31131,0.00197164
3.38844,0.00200019
3.46737,0.00202866
3.54813,0.00205701
3.63078,0.00208524
3.71535,0.00211332
3.80189,0.00214122
3.89045,0.00216894
3.98107,0.00219644
4.0738,0.00222372
4.16869,0.00225075
4.2658,0.00227751
4.36516,0.00230399
4.46684,0.00233017
4.57088,0.00235602
4.67735,0.00238155
4.7863,0.00240672
4.89779,0.00243154
5.01187,0.00245598
5.12861,0.00248003
5.24807,0.00250368
5.37032,0.00252692
5.49541,0.00254974
5.62341,0.00257214
5.7544,0.0025941
5.88844,0.00261561
6.0256,0.00263668
6.16595,0.0026573
6.30957,0.00267746
6.45654,0.00269717
6.60693,0.00271641
6.76083,0.00273519
6.91831,0.00275351
7.07946,0.00277137
7.24436,0.00278877
7.4131,0.00280571
7.58578,0.00282219
7.76247,0.00283823
7.94328,0.00285382
8.12831,0.00286896
8.31764,0.00288367
8.51138,0.00289795
8.70964,0.0029118
8.91251,0.00292523
9.12011,0.00293825
9.33254,0.00295087
9.54993,0.00296309
9.77237,0.00297492
10,0.00298636
10.2329,0.00299743
10.4713,0.00300814
10.7152,0.00301849
10.9648,0.00302848
11.2202,0.00303814
11.4815,0.00304746
11.749,0.00305646
12.0226,0.00306514
12.3027,0.0030735
12.5893,0.00308157
12.8825,0.00308934
13.1826,0.00309682
13.4896,0.00310403
13.8038,0.00311096
14.1254,0.00311762
14.4544,0.00312402
14.7911,0.00313017
15.1356,0.00313606
15.4882,0.00314171
15.8489,0.00314713
16.2181,0.00315231
16.5959,0.00315725
16.9824,0.00316197
17.378,0.00316646
17.7828,0.00317074
18.197,0.00317479
18.6209,0.00317862
19.0546,0.00318224
19.4984,0.00318564
19.9526,0.00318882
20.4174,0.00319178
20.893,0.00319452
21.3796,0.00319704
21.8776,0.00319934
22.3872,0.0032014
22.9087,0.00320323
23.4423,0.00320483
23.9883,0.00320617
24.5471,0.00320726
25.1189,0.00320809
25.704,0.00320864
26.3027,0.00320892
26.9153,0.00320889
27.5423,0.00320856
28.1838,0.00320791
28.8403,0.00320692
29.5121,0.00320558
30.1995,0.00320386
30.903,0.00320176
31.6228,0.00319923
32.3594,0.00319627
33.1131,0.00319285
33.8844,0.00318894
34.6737,0.00318452
35.4813,0.00317955
36.3078,0.003174
37.1535,0.00316784
38.0189,0.00316105
38.9045,0.00315357
39.8107,0.00314537
40.738,0.00313642
41.6869,0.00312667
42.658,0.00311609
43.6516,0.00310462
44.6684,0.00309223
45.7088,0.00307888
46.7735,0.00306451
47.863,0.00304908
48.9779,0.00303256
50.1187,0.00301489
51.2861,0.00299604
52.4807,0.00297597
53.7032,0.00295463
54.9541,0.002932
56.2341,0.00290804
57.544,0.00288273
58.8844,0.00285604
60.256,0.00282796
61.6595,0.00279847
63.0957,0.00276757
64.5654,0.00273527
66.0693,0.00270156
67.6083,0.00266648
69.1831,0.00263003
70.7946,0.00259226
