X--Trace 1::[V(PR1)/I(PR1)],Y--Trace 1::[V(PR1)/I(PR1)]
1,5.98916
1.02329,5.99745
1.04713,6.00612
1.07152,6.01519
1.09648,6.02468
1.12202,6.0346
1.14815,6.04498
1.1749,6.05584
1.20226,6.06719
1.23027,6.07906
1.25893,6.09147
1.28825,6.10445
1.31826,6.11802
1.34896,6.13221
1.38038,6.14705
1.41254,6.16256
1.44544,6.17878
1.47911,6.19573
1.51356,6.21345
1.54882,6.23197
1.58489,6.25133
1.62181,6.27157
1.65959,6.29271
1.69824,6.31481
1.7378,6.3379
1.77828,6.36203
1.8197,6.38725
1.86209,6.41359
1.90546,6.4411
1.94984,6.46985
1.99526,6.49988
2.04174,6.53125
2.0893,6.564
2.13796,6.59822
2.18776,6.63394
2.23872,6.67125
2.29087,6.7102
2.34423,6.75088
2.39883,6.79334
2.45471,6.83766
2.51189,6.88393
2.5704,6.93223
2.63027,6.98264
2.69153,7.03526
2.75423,7.09016
2.81838,7.14746
2.88403,7.20725
2.95121,7.26964
3.01995,7.33474
3.0903,7.40267
3.16228,7.47354
3.23594,7.54747
3.31131,7.62461
3.38844,7.70509
3.46737,7.78906
3.54813,7.87666
3.63078,7.96805
3.71535,8.06341
3.80189,8.16291
3.89045,8.26673
3.98107,8.37507
4.0738,8.48813
4.16869,8.60614
4.2658,8.72932
4.36516,8.85792
4.46684,8.9922
4.57088,9.13243
4.67735,9.27891
4.7863,9.43195
4.89779,9.59189
5.01187,9.75907
5.12861,9.93389
5.24807,10.1168
5.37032,10.3081
5.49541,10.5084
5.62341,10.7182
5.7544,10.938
5.88844,11.1685
6.0256,11.4102
6.16595,11.6639
6.30957,11.9304
6.45654,12.2105
6.60693,12.5052
6.76083,12.8154
6.91831,13.1423
7.07946,13.4872
7.24436,13.8513
7.4131,14.2362
7.58578,14.6436
7.76247,15.0754
7.94328,15.5338
8.12831,16.021
8.31764,16.5397
8.51138,17.0931
8.70964,17.6845
8.91251,18.3178
9.12011,18.9977
9.33254,19.7292
9.54993,20.5185
9.77237,21.3724
10,22.2992
10.2329,23.3086
10.4713,24.412
10.7152,25.6233
10.9648,26.9588
11.2202,28.4387
11.4815,30.0879
11.749,31.9368
12.0226,34.0243
12.3027,36.3993
12.5893,39.1255
12.8825,42.2864
13.1826,45.9941
13.4896,50.4019
13.8038,55.7252
14.1254,62.2746
14.4544,70.5135
14.7911,81.1575
15.1356,95.3545
15.4882,115.006
15.8489,143.259
16.2181,184.51
16.5959,238.409
16.9824,272.803
17.378,242.781
17.7828,188.141
18.197,145.287
18.6209,115.912
19.0546,95.5557
19.4984,80.91
19.9526,69.9686
20.4174,61.5243
20.893,54.8277
21.3796,49.3954
